date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:57:08	78635/78635	---M--	200	added ('OK')	application/javascript	etag:%22b3a4b8d-1332b-581d322792300%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/bootstrap/js/bootstrap.bundle.min.js	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/bootstrap/js/bootstrap.bundle.min.js	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:57:10	3769/3769	---M--	200	added ('OK')	application/javascript	etag:%22b3a4b45-eb9-5abeb5b5c6780%22	http://gambolthemes.net/html-items/cursus_demo_f12/js/custom1.js	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/js/custom1.js	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:57:10	922/922	---M--	200	added ('OK')	application/javascript	etag:%22b3a4b5b-39a-5a36c98fbfd80%22	http://gambolthemes.net/html-items/cursus_demo_f12/js/night-mode.js	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/js/night-mode.js	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:57:14	89992/89992	---M--	200	added ('OK')	application/javascript	etag:%22b3a4dd3-15f88-57a69878ef100%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/OwlCarousel/owl.carousel.js	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/OwlCarousel/owl.carousel.js	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:57:16	17136/17136	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b3a4e8f-42f0-5952143f2d380%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-0.eot	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-0.eot	(from http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/css/unicons.css)
16:57:16	7056/7056	---M--	200	added ('OK')	font/woff2	etag:%22b3a4e93-1b90-5952143f2d380%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-0.woff2	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-0.woff2	(from http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/css/unicons.css)
16:57:18	8540/8540	---M--	200	added ('OK')	font/woff	etag:%22b3a4e92-215c-5952143f2d380%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-0.woff	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-0.woff	(from http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/css/unicons.css)
16:57:20	16096/16096	---M--	200	added ('OK')	image/svg+xml	etag:%22b3a4e90-3ee0-5952143f2d380%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-0.svg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-0.svg	(from http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/css/unicons.css)
16:57:22	16964/16964	---M--	200	added ('OK')	font/ttf	etag:%22b3a4e91-4244-5952143f2d380%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-0.ttf	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-0.ttf	(from http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/css/unicons.css)
16:57:26	13972/13972	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b3a4e94-3694-5952143f2d380%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-1.eot	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-1.eot	(from http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/css/unicons.css)
16:57:26	6748/6748	---M--	200	added ('OK')	font/woff2	etag:%22b3a4e98-1a5c-5952143f2d380%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-1.woff2	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-1.woff2	(from http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/css/unicons.css)
16:57:28	8136/8136	---M--	200	added ('OK')	font/woff	etag:%22b3a4e97-1fc8-5952143f2d380%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-1.woff	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-1.woff	(from http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/css/unicons.css)
16:57:30	13142/13142	---M--	200	added ('OK')	image/svg+xml	etag:%22b3a4e95-3356-5952143f2d380%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-1.svg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-1.svg	(from http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/css/unicons.css)
16:57:30	13800/13800	---M--	200	added ('OK')	font/ttf	etag:%22b3a4e96-35e8-5952143f2d380%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-1.ttf	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-1.ttf	(from http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/css/unicons.css)
16:57:36	15448/15448	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b3a4e99-3c58-5952143f2d380%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-10.eot	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-10.eot	(from http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/css/unicons.css)
16:57:36	6588/6588	---M--	200	added ('OK')	font/woff2	etag:%22b3a4e9d-19bc-5952143f2d380%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-10.woff2	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-10.woff2	(from http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/css/unicons.css)
16:57:38	8032/8032	---M--	200	added ('OK')	font/woff	etag:%22b3a4e9c-1f60-5952143f2d380%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-10.woff	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/fonts/unicons-10.woff	(from http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/css/unicons.css)
